"","X","user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","Upercase","State","Abbreviation"
"1",4,222106378,1104134416987770880,"2019-03-08 21:38:53","Cyn190","Listen! Influenza &amp; Pneumonia are NO JOKE! Get your annual Flu shot &amp; if ur over 65, get ur Pneumonia vaccine. If u have underlying conditions or if u smoke or are a former smoker, talk about the Pneumonia vaccine with your doctor SOONER. These ailments are SERIOUS &amp; can kill u! https://t.co/jMoBRyXXa2","Twitter Web Client",291,NA,NA,NA,TRUE,FALSE,0,0,NA,NA,"twitter.com/TMZ/status/110…","https://t.co/jMoBRyXXa2","https://twitter.com/TMZ/status/1104132459065737217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",1104132459065737216,"Whoopi Goldberg Came Close to Dying from Pneumonia https://t.co/ZLmquC6AZk","2019-03-08 21:31:06","SocialFlow",29,10,16331010,"TMZ","TMZ",4927076,908,245512,"Los Angeles, CA","TMZ has consistently been credited for breaking the biggest stories dominating the entertainment news landscape and changing the way the public gets their news.",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA, NA","NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","https://twitter.com/Cyn190/status/1104134416987770881","Cyn","MI","""Life is like riding a bicycle. To keep your balance, you must keep moving."" And balance is KEY!",NA,FALSE,1304,746,68,114895,2304,"2010-12-02 13:44:29",FALSE,NA,NA,"en","https://pbs.twimg.com/profile_banners/222106378/1426900628","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/2679658041/4918f373995feb21736f4bdbb86fbcc7_normal.jpeg","MICHIGAN","Michigan","MI"
"2",6,19158534,1104133022478024704,"2019-03-08 21:33:21","DRUified","I will never take the flu vaccine... not even
If you make it mandatory... I’d rather become an ex-pat... that vaccine is not to heal... it’s to destroy..","Facebook",153,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA, NA","NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","https://twitter.com/DRUified/status/1104133022478024704","Rebecca Dru","CA","GRAMMY Nomin8ed<U+0001F3A4>SING DRUtones<U+0001F4A5>DRUified<U+0001F98B>Transformational  Fotografy<U+0001F4F8>High Vibration <U+0001F4AB>Intuitive Consultant<U+0001F64F>SpeakR Radio/TV<U+0001F399>@Spiritualxtc<U+0001F4C5>BOOK <U+0001F4E9>DRU@Spiritualxtc.com","https://t.co/Q2gCoG3kF5",FALSE,875,1630,38,25234,278,"2009-01-18 21:26:45",FALSE,"https://t.co/Q2gCoG3kF5","http://www.spiritualxtc.com","en","https://pbs.twimg.com/profile_banners/19158534/1539274808","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1050420582406283264/gcibxUQC_normal.jpg","CALIFORNIA","California","CA"
"3",10,1052269304224321536,1.104130595549e+18,"2019-03-08 21:23:42","GSUIBMS","Georgia State has advanced to round 2 in #statmadness! Vote here for Institute for Biomedical Sciences Associate Professor Bao-Zhong Wang's universal flu vaccine, which could eliminate the need for annual shots. https://t.co/lbgxaBxXnS","Hootsuite Inc.",235,NA,NA,NA,FALSE,FALSE,1,0,"statmadness",NA,"ow.ly/wolS30nYmEb","https://t.co/lbgxaBxXnS","http://ow.ly/wolS30nYmEb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA, NA","NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","https://twitter.com/GSUIBMS/status/1104130595548995586","GSUIBMS","GA","Institute for Biomedical Sciences","https://t.co/ALRDP0aI6m",FALSE,16,113,0,40,86,"2018-10-16 18:45:27",FALSE,"https://t.co/ALRDP0aI6m","https://biomedical.gsu.edu/","en","https://pbs.twimg.com/profile_banners/1052269304224321536/1547583982",NA,"http://pbs.twimg.com/profile_images/1052272835656372224/DtQ2_2Or_normal.jpg","GEORGIA","Georgia","GA"
"4",55,15588282,1104128727154343936,"2019-03-08 21:16:16","jordanlarae","The flu vaccine doesn’t give you the flu https://t.co/WE6QUfcObC","Twitter for iPhone",40,1104128399159762944,15588282,"jordanlarae",FALSE,FALSE,1,0,NA,NA,NA,NA,NA,"http://pbs.twimg.com/media/D1KnOVBWwAYBmRK.jpg","https://t.co/WE6QUfcObC","https://twitter.com/jordanlarae/status/1104128727154343936/photo/1","photo","http://pbs.twimg.com/media/D1KnOVBWwAYBmRK.jpg","https://t.co/WE6QUfcObC","https://twitter.com/jordanlarae/status/1104128727154343936/photo/1",NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA, NA","NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","https://twitter.com/jordanlarae/status/1104128727154343936","jordanlarae","NY","Too short to see the stage when in general admission",NA,FALSE,373,1872,11,21982,94786,"2008-07-24 20:19:24",FALSE,NA,NA,"en","https://pbs.twimg.com/profile_banners/15588282/1545104330","http://abs.twimg.com/images/themes/theme17/bg.gif","http://pbs.twimg.com/profile_images/1093989112753860608/99UVKvXh_normal.jpg","NEW YORK","New York","NY"
"5",57,32517621,1103022648316047360,"2019-03-05 20:01:07","CoercedTaxSlave","@autism_vaccine @thereal_truther @CryptoNLtrader @doctorsensation ""None of those things are in vaccines""

LOL. You are making this too easy and showing how uneducated pro vaccine people are.

Everyone knows that vaccines contain ""aluminum"" adjuvants. Aluminum is a neurotoxin linked to Alzheimers disease.
#vaccines #measlesoutbreak #measles #flu","Twitter for Android",280,1103020693967368192,1099061044155056128,"autism_vaccine",FALSE,FALSE,0,0,"vaccines, measlesoutbreak, measles, flu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1099061044155056135, 4322065997, 760931688197320704, 44667379","autism_vaccine, thereal_truther, CryptoNLtrader, doctorsensation","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA, NA","NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","https://twitter.com/CoercedTaxSlave/status/1103022648316047363","Coerced Tax Slave","NC","",NA,FALSE,141,61,9,3678,11857,"2009-04-17 18:45:03",FALSE,NA,NA,"en",NA,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/143965467/enlightened_man_normal.jpg","NORTH CAROLINA","North Carolina","NC"
"6",58,32517621,1103017899323731968,"2019-03-05 19:42:14","CoercedTaxSlave","@autism_vaccine @thereal_truther @CryptoNLtrader @doctorsensation Oh, I forgot to mention that the MMR vaccine was found to have 25 times more carcinogenic glyphosate weed killer in it than other vaccines. 

#vaccines #Measles
#MeaslesOutbreak
#MMR #VaccinateYourKids #flushot #flu #FluVaccine #VaccinesWork #Vaccination #VaxTheNation #vaxxed https://t.co/yQZyz7sZsi","Twitter for Android",276,1103016049946054656,32517621,"CoercedTaxSlave",FALSE,FALSE,6,7,"vaccines, Measles, MeaslesOutbreak, MMR, VaccinateYourKids, flushot, flu, FluVaccine, VaccinesWork, Vaccination, VaxTheNation, vaxxed",NA,NA,NA,NA,"http://pbs.twimg.com/media/D0607XSWsAA6r2r.jpg","https://t.co/yQZyz7sZsi","https://twitter.com/CoercedTaxSlave/status/1103017899323731968/photo/1","photo","http://pbs.twimg.com/media/D0607XSWsAA6r2r.jpg","https://t.co/yQZyz7sZsi","https://twitter.com/CoercedTaxSlave/status/1103017899323731968/photo/1",NA,"1099061044155056135, 4322065997, 760931688197320704, 44667379","autism_vaccine, thereal_truther, CryptoNLtrader, doctorsensation","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA, NA","NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","https://twitter.com/CoercedTaxSlave/status/1103017899323731968","Coerced Tax Slave","NC","",NA,FALSE,141,61,9,3678,11857,"2009-04-17 18:45:03",FALSE,NA,NA,"en",NA,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/143965467/enlightened_man_normal.jpg","NORTH CAROLINA","North Carolina","NC"
"7",59,32517621,1102967700157067264,"2019-03-05 16:22:46","CoercedTaxSlave","@emartinez78987 @DerekCressman Why don't you ask the tens of thousands of oncologists and hospitals who tell their immunocompromised patients to stay away from recently vaccinated people, because the recently vaccinated shed viruses and put their patients in danger. They have seen the studies. #flu
#Vaccine","Twitter for Android",277,1102965480279736320,986340214837784576,"emartinez78987",FALSE,FALSE,0,0,"flu, Vaccine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"986340214837784576, 32671625","emartinez78987, DerekCressman","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA, NA","NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","https://twitter.com/CoercedTaxSlave/status/1102967700157067270","Coerced Tax Slave","NC","",NA,FALSE,141,61,9,3678,11857,"2009-04-17 18:45:03",FALSE,NA,NA,"en",NA,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/143965467/enlightened_man_normal.jpg","NORTH CAROLINA","North Carolina","NC"
"8",61,32517621,1103124374415200256,"2019-03-06 02:45:20","CoercedTaxSlave","@IsCoolScience @autism_vaccine @thereal_truther @CryptoNLtrader @doctorsensation FACT: Childhood vaccines do contain aluminum hydroxide nanoparticles.

FACT:  Scientific studies prove nanoparticles definitely pass the blood brain barrier.

FACT: Aluminim is a nerotoxin.

Children are vaccinated with nerotoxins that pass the blood brain barrier.
#vaccines #flu","Twitter for Android",280,1103053300138618880,1970818394,"IsCoolScience",FALSE,FALSE,0,0,"vaccines, flu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1970818394, 1099061044155056135, 4322065997, 760931688197320704, 44667379","IsCoolScience, autism_vaccine, thereal_truther, CryptoNLtrader, doctorsensation","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA, NA","NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","https://twitter.com/CoercedTaxSlave/status/1103124374415200256","Coerced Tax Slave","NC","",NA,FALSE,141,61,9,3678,11857,"2009-04-17 18:45:03",FALSE,NA,NA,"en",NA,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/143965467/enlightened_man_normal.jpg","NORTH CAROLINA","North Carolina","NC"
"9",62,32517621,1104063229507063808,"2019-03-08 16:56:01","CoercedTaxSlave","@Atul_Gawande The measles vaccine does cause autism according to CDC whistleblower Dr. William Thompson who revealed the CDC committed fraud to hide a study that showed MMR vaccine increased autism in black boys 340%. 10,000 pages of documents prove the fraud. No investigation.

#vaccines #flu","Twitter for Android",280,1.103132755163e+18,233364902,"Atul_Gawande",FALSE,FALSE,0,0,"vaccines, flu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"233364902","Atul_Gawande","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA, NA","NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","https://twitter.com/CoercedTaxSlave/status/1104063229507063808","Coerced Tax Slave","NC","",NA,FALSE,141,61,9,3678,11857,"2009-04-17 18:45:03",FALSE,NA,NA,"en",NA,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/143965467/enlightened_man_normal.jpg","NORTH CAROLINA","North Carolina","NC"
"10",63,32517621,1103889514496315392,"2019-03-08 05:25:44","CoercedTaxSlave","@ashok_philip @pseudolokun Here is another article on vaccinated people spreading viruses and infecting others.

#vaccines #vaccine #VaccinateYourKids #measlesoutbreak #measles
#vaccinerape #MybodyMyRules
#mybodymychoice #flushot
#flu

https://t.co/vZU1FdB6Tk","Twitter for Android",232,1103884660239556608,949896939767717888,"ashok_philip",FALSE,FALSE,0,0,"vaccines, vaccine, VaccinateYourKids, measlesoutbreak, measles, vaccinerape, MybodyMyRules, mybodymychoice, flushot, flu",NA,"greenmedinfo.com/blog/how-vacci…","https://t.co/vZU1FdB6Tk","http://www.greenmedinfo.com/blog/how-vaccinated-kids-infect-non-vaccinated",NA,NA,NA,NA,NA,NA,NA,NA,"949896939767717888, 181903658","ashok_philip, pseudolokun","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA, NA","NA, NA","NA, NA, NA, NA, NA, NA, NA, NA","https://twitter.com/CoercedTaxSlave/status/1103889514496315392","Coerced Tax Slave","NC","",NA,FALSE,141,61,9,3678,11857,"2009-04-17 18:45:03",FALSE,NA,NA,"en",NA,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/143965467/enlightened_man_normal.jpg","NORTH CAROLINA","North Carolina","NC"
